Pid Tid Torder Res Dcls Did Time Correct Ans Key ec1 ec2 ec3 ec4 ec5
2 4 102 3 3 2 8 1 1 1 31.192824 15.378211 6 0 0
2 4 103 5 3 3 10 0 0 1 430.590659 25.548268 10 0 0
2 4 104 1 3 4 6 1 1 1 24.391564 29.424624 26 0 0
2 4 105 2 3 5 4 1 1 1 42.301679 31.030433 26 0 0
2 4 106 4 3 1 4 1 1 1 9.753386 25.123905 45 0 0
2 4 107 3 3 2 7 1 1 1 23.263509 12.858325 8 0 0
2 4 108 5 3 3 10 1 1 1 6.636013 22.274492 19 0 0
2 4 109 1 3 4 4 1 1 1 17.316173 28.643363 49 0 0
2 4 110 2 3 5 3 1 1 1 18.696054 33.082050 27 0 0
2 4 111 4 2 1 14 1 1 1 13.275813 17.130037 31 0 0
2 4 112 3 2 2 21 0 0 1 376.240559 15.378211 19 0 0
2 4 113 5 2 3 18 1 1 1 4.451108 25.548268 31 0 0
2 4 114 1 2 4 12 1 1 1 23.306243 29.424623 73 0 0
2 4 115 2 2 5 7 1 1 1 18.933384 31.030435 94 0 0
2 4 116 4 2 1 12 1 1 1 29.598546 25.123904 92 0 0
2 4 117 3 2 2 68 0 0 1 312.972509 12.858325 22 0 0
2 4 118 5 2 3 19 1 1 1 7.259057 22.274493 19 0 0
2 4 119 1 2 4 11 1 1 1 26.041441 28.643363 108 0 0
2 4 120 2 2 5 25 1 1 1 18.215871 33.082050 88 0 0
2 5 121 4 1 1 12 1 1 2 0 0 0 0 0
2 5 122 3 1 2 17 1 1 2 0 0 0 0 0
2 5 123 5 1 3 16 0 1 1 0 0 0 0 0
2 5 124 1 1 4 9 1 1 1 0 0 0 0 0
2 5 125 2 1 5 7 1 1 2 0 0 0 0 0
2 5 126 4 1 1 16 0 1 1 0 0 0 0 0
2 5 127 3 1 2 7 1 2 2 0 0 0 0 0
2 5 128 5 1 3 13 1 2 1 0 0 0 0 0
2 5 129 1 1 4 8 1 1 1 0 0 0 0 0
2 5 130 2 1 5 13 1 1 1 0 0 0 0 0
2 5 131 4 3 1 12 1 1 2 0 0 0 0 0
2 5 132 3 3 2 7 1 1 2 0 0 0 0 0
2 5 133 5 3 3 9 0 1 1 0 0 0 0 0
2 5 134 1 3 4 5 1 1 1 0 0 0 0 0
2 5 135 2 3 5 7 1 1 2 0 0 0 0 0
2 5 136 4 3 1 4 1 2 1 0 0 0 0 0
2 5 137 3 3 2 3 1 2 2 0 0 0 0 0
2 5 138 5 3 3 6 1 2 1 0 0 0 0 0
2 5 139 1 3 4 5 1 1 1 0 0 0 0 0
2 5 140 2 3 5 5 1 1 1 0 0 0 0 0
2 5 141 4 2 1 10 1 1 2 0 0 0 0 0
2 5 142 3 2 2 22 1 1 2 0 0 0 0 0
2 5 143 5 2 3 14 0 1 1 0 0 0 0 0
2 5 144 1 2 4 6 1 1 1 0 0 0 0 0
2 5 145 2 2 5 7 1 1 2 0 0 0 0 0
2 5 146 4 2 1 5 0 1 1 0 0 0 0 0
2 5 147 3 2 2 11 1 2 2 0 0 0 0 0
2 5 148 5 2 3 12 0 1 1 0 0 0 0 0
2 5 149 1 2 4 7 1 1 1 0 0 0 0 0
2 5 150 2 2 5 6 1 1 1 0 0 0 0 0
2 6 151 4 1 1 28 1 3 3 0.4524 42 61 0 0
2 6 152 3 1 2 18 0 2 3 0.4615 19 13 0 0
2 6 153 5 1 3 26 1 1 1 0.00 12 12 0 0
2 6 154 1 1 1 53 1 3 3 0.4564 217 149 0 0
2 6 155 2 1 3 28 1 3 3 0.5000 27 18 0 0
2 6 156 4 1 1 43 1 1 1 0.00 61 61 0 0
2 6 157 3 1 2 35 0 2 1 0.1053 19 21 0 0
2 6 158 5 1 3 16 1 1 1 0.00 12 12 0 0
2 6 159 1 1 1 24 0 1 2 0.3860 171 237 0 0
2 6 160 2 1 3 29 0 2 3 0.4783 23 34 0 0
2 6 161 4 3 1 13 1 3 3 0.4524 42 61 0 0
2 6 162 3 3 2 21 1 3 3 0.4615 19 13 0 0
2 6 163 5 3 3 16 1 1 1 0.00 12 12 0 0
2 6 164 1 3 1 16 1 3 3 0.4564 217 149 0 0
2 6 165 2 3 3 24 1 3 3 0.5000 27 18 0 0
2 6 166 4 3 1 50 1 1 1 0.00 61 61 0 0
2 6 167 3 3 2 24 1 1 1 0.1053 19 21 0 0
2 6 168 5 3 3 19 1 1 1 0.00 12 12 0 0
2 6 169 1 3 1 39 0 3 2 0.3860 171 237 0 0
2 6 170 2 3 3 28 0 1 3 0.4783 23 34 0 0
2 6 171 4 2 1 7 1 3 3 0.4524 42 61 0 0
2 6 172 3 2 2 18 0 2 3 0.4615 19 13 0 0
2 6 173 5 2 3 15 1 1 1 0.00 12 12 0 0
2 6 174 1 2 1 8 0 1 3 0.4564 217 149 0 0
2 6 175 2 2 3 25 0 1 3 0.5000 27 18 0 0
2 6 176 4 2 1 16 1 1 1 0.00 61 61 0 0
2 6 177 3 2 2 16 1 1 1 0.1053 19 21 0 0
2 6 178 5 2 3 13 1 1 1 0.00 12 12 0 0
2 6 179 1 2 1 10 0 1 2 0.3860 171 237 0 0
2 6 180 2 2 3 58 1 3 3 0.4783 23 34 0 0
3 1 1 2 1 1 101 1 2 2 0.034802 0.189707 105 0.224510 288
3 1 2 5 1 2 75 0 1 2 0.017950 0.180891 7 0.198840 16
3 1 3 4 1 3 45 1 2 2 0.114544 0.323671 58 0.438215 74
3 1 4 3 1 4 78 0 3 2 0.104282 0.205176 64 0.309458 67
3 1 5 1 1 5 38 1 1 1 0.146700 0.386188 125 0.239488 257
3 1 6 2 1 1 101 1 1 1 0.101418 0.259539 90 0.158121 16 
3 1 7 5 1 2 103 0 3 1 0.033981 0.240476 25 0.206495 16 
3 1 8 4 1 3 25 1 1 1 0.168365 0.352858 55 0.184493 27 
3 1 9 3 1 4 71 0 3 2 0.105735 0.217708 54 0.323443 79 
3 1 10 1 1 5 64 1 1 1 0.122921 0.370037 95 0.247116 130 
3 1 11 2 3 1 22 1 2 2 0.086931 0.172893 35 0.259824 68 
3 1 12 5 3 2 126 1 1 1 0.060391 0.208729 3 0.148337 1 
3 1 13 4 3 3 43 1 2 2 0.050614 0.352564 48 0.403178 58 
